NAME
"ZCTA5 91107, California"
"ZCTA5 91020, California"
"ZCTA5 91602, California"
"ZCTA5 91607, California"
"ZCTA5 91324, California"
"ZCTA5 90232, California"
"ZCTA5 90015, California"
"ZCTA5 90008, California"
"ZCTA5 90001, California"
"ZCTA5 91344, California"
"ZCTA5 91340, California"
"ZCTA5 90405, California"
"ZCTA5 90404, California"
"ZCTA5 90401, California"
"ZCTA5 90278, California"
"ZCTA5 90022, California"
"ZCTA5 90201, California"
"ZCTA5 90505, California"
"ZCTA5 90503, California"
"ZCTA5 90605, California"
"ZCTA5 91024, California"
"ZCTA5 91210, California"
"ZCTA5 92833, California"
